Unnamed: 0,Polish,English
0,nie,NO
1,się,myself
2,w,In
3,na,on
4,i,and
5,że,That
6,z,With
7,co,What
8,jest,Is
9,tak,Yes
11,jak,How
12,ale,But
13,a,and
14,mnie,me
15,za,behind
16,ja,I
17,tym,this
18,tego,this
19,go,him
20,ci,you
21,po,after
22,tylko,Just
24,może,Maybe
25,jestem,I am
26,ma,has
27,jesteś,You are
29,jeśli,If
30,wiem,I know
31,coś,something
32,dobrze,All right
33,więc,So
34,teraz,Now
35,pan,Mr
37,być,to be
38,masz,You have
39,nic,nothing
40,tam,over there
41,mogę,I can
42,proszę,Please
43,jej,her
44,są,are
45,kiedy,When
46,ten,this
47,on,he
48,ciebie,you
49,by,by
51,ze,That
52,był,was
53,wiesz,You know
54,bardzo,Very
55,było,was
56,przez,By
57,jego,his
58,ją,I
59,dlaczego,Why
60,mój,my
61,nas,us
62,żeby,To
63,no,yeah
64,bo,because
65,chcesz,You want
67,też,Too
68,tutaj,here
69,naprawdę,Really
70,nigdy,Never
71,mamy,We have
74,dobra,All right
75,przepraszam,Sorry
76,mu,him
77,gdy,When
78,muszę,I have to
79,porządku,okay
83,ona,She
84,prawda,True
85,zrobić,to do
